"","reference","paperID","common_name","species_cleaned","dispersal_type"
"235","Byrom 2002","p074","ferret","Mustela putorius furo","natal"
"236","Engh et al. 2002","p075","spotted hyena","Crocuta crocuta","natal"
"237","Goldizen et al. 2002","p076","tasmanian native hen","Gallinula mortierii","natal"
"238","Goldizen et al. 2002","p076","tasmanian native hen","Gallinula mortierii","natal"
"239","Goldizen et al. 2002","p076","tasmanian native hen","Gallinula mortierii","natal"
"240","Goldizen et al. 2002","p076","tasmanian native hen","Gallinula mortierii","natal"
"241","Forero et al. 2002","p077","black kite","Milvus migrans","natal"
"242","Forero et al. 2002","p077","black kite","Milvus migrans","natal"
"243","Forero et al. 2002","p077","black kite","Milvus migrans","natal"
"244","Forero et al. 2002","p077","black kite","Milvus migrans","natal"
"245","Forero et al. 2002","p077","black kite","Milvus migrans","natal"
"246","Forero et al. 2002","p077","black kite","Milvus migrans","natal"
"247","Forero et al. 2002","p077","black kite","Milvus migrans","natal"
"248","Forero et al. 2002","p077","black kite","Milvus migrans","natal"
"249","Danchin & Cam 2002","p078","kittiwake","Rissa tridactyla","breeding"
"250","Dique et al. 2003","p079","koala","Phascolarctos cinereus","natal"
"251","Dique et al. 2003","p079","koala","Phascolarctos cinereus","natal"
"252","Dique et al. 2003","p079","koala","Phascolarctos cinereus","natal"
"253","Dique et al. 2003","p079","koala","Phascolarctos cinereus","natal"
"254","Lee & Vaughan 2003","p080","black bear","Ursus americanus","natal"
"255","Shutler & Clark 2003","p081","tree swallow","Tachycineta bicolor","natal"
"256","Shutler & Clark 2003","p081","tree swallow","Tachycineta bicolor","natal"
"257","Townsend et al. 2003","p082","northern bobwhite","Colinus virginianus","natal"
"258","Pasinelli et al. 2004","p083","red-cockaded woodpecker","Picoides borealis","natal"
"259","Pasinelli et al. 2004","p083","red-cockaded woodpecker","Picoides borealis","natal"
"260","Pasinelli et al. 2004","p083","red-cockaded woodpecker","Picoides borealis","natal"
"261","Pasinelli et al. 2004","p083","red-cockaded woodpecker","Picoides borealis","natal"
"262","Pasinelli et al. 2004","p083","red-cockaded woodpecker","Picoides borealis","natal"
"263","Pasinelli et al. 2004","p083","red-cockaded woodpecker","Picoides borealis","natal"
"264","Kamler et al. 2004","p084","swift fox","Vulpes velox","natal"
"265","Withey & Marzluff 2005","p085","american crow","Corvus brachyrhynchos","natal"
"266","Williams & Rabenold 2005","p086","brown jay","Cyanocorax morio","natal"
"267","Williams & Rabenold 2005","p086","brown jay","Cyanocorax morio","natal"
"268","Ward & Weatherhead 2005","p087","yellow-headed blackbird","Xanthocephalus xanthocephalus","breeding"
"269","Ward & Weatherhead 2005","p087","yellow-headed blackbird","Xanthocephalus xanthocephalus","breeding"
"270","Shaw et al. 2006","p088","white-tailed deer","Odocoileus virginianus","natal"
"271","Kojola et al. 2006","p089","gray wolf","Canis lupus","natal"
"272","Tschirren et al. 2007","p090","great tit","Parus major","natal"
"273","Tschirren et al. 2007","p090","great tit","Parus major","natal"
"274","Ridley & Raihani 2007","p091","pied babbler","Turdoides bicolor","natal"
"275","Linkhart & Reynolds 2007","p092","flammulated owl","Otus flammeolus","breeding"
"276","Blanco & Cortés 2007","p093","gray wolf","Canis lupus","natal"
"277","Ausband & Foresman 2007","p094","swift fox","Vulpes velox","natal"
"278","Soulsbury et al. 2008","p095","red fox","Vulpes vulpes","natal"
"279","Soulsbury et al. 2008","p095","red fox","Vulpes vulpes","natal"
"280","Soulsbury et al. 2008","p095","red fox","Vulpes vulpes","natal"
"281","Soulsbury et al. 2008","p095","red fox","Vulpes vulpes","natal"
"282","Soulsbury et al. 2008","p095","red fox","Vulpes vulpes","natal"
"283","Soulsbury et al. 2008","p095","red fox","Vulpes vulpes","natal"
"284","Soulsbury et al. 2008","p095","red fox","Vulpes vulpes","natal"
"285","Soulsbury et al. 2008","p095","red fox","Vulpes vulpes","natal"
"286","Soulsbury et al. 2008","p095","red fox","Vulpes vulpes","natal"
"287","Soulsbury et al. 2008","p095","red fox","Vulpes vulpes","natal"
"288","Eeva et al. 2008","p096","pied flycatcher","Ficedula hypoleuca","breeding"
"289","Brown et al. 2008","p097","cliff swallow","Petrochelidon pyrrhonota","breeding"
"290","Brown et al. 2008","p097","cliff swallow","Petrochelidon pyrrhonota","breeding"
"291","Griesser et al. 2008","p098","siberian jay","Perisoreus infaustus","natal"
"292","Goodrich et al. 2008","p099","amur tiger","Panthera tigris","natal"
"293","Robbins et al. 2009","p100","mountain gorilla","Gorilla beringei beringei","natal"
"294","Pärn et al. 2009","p101","house sparrow","Passer domesticus","natal"
"295","Pärn et al. 2009","p101","house sparrow","Passer domesticus","natal"
"296","Pärn et al. 2009","p101","house sparrow","Passer domesticus","natal"
"297","Pärn et al. 2009","p101","house sparrow","Passer domesticus","natal"
"298","Pärn et al. 2009","p101","house sparrow","Passer domesticus","natal"
"299","Pärn et al. 2009","p101","house sparrow","Passer domesticus","natal"
"300","Pärn et al. 2009","p101","house sparrow","Passer domesticus","natal"
"301","Estes-Zumpf & Rachlow 2009","p102","pygmy rabbit","Brachylagus idahoensis","natal"
"302","Estes-Zumpf & Rachlow 2009","p102","pygmy rabbit","Brachylagus idahoensis","natal"
"303","Devillard & Bray 2009","p103","european hare","Lepus europaeus","natal"
"304","Devillard & Bray 2009","p103","european hare","Lepus europaeus","natal"
"305","Johnson et al. 2010","p104","bobcat","Lynx rufus","natal"
"306","Chaput-Bardy et al. 2010","p105","banded damselfly","Calopteryx splendens","natal"
"307","Dykstra et al. 2004","p106","red-shouldered hawk","Buteo lineatus","natal"
"308","Ferreras et al. 2004","p107","iberian lynx","Lynx pardinus","natal"
"309","Ferreras et al. 2004","p107","iberian lynx","Lynx pardinus","natal"
"310","Ferreras et al. 2004","p107","iberian lynx","Lynx pardinus","natal"
"311","Ferreras et al. 2004","p107","iberian lynx","Lynx pardinus","natal"
"312","Ferreras et al. 2004","p107","iberian lynx","Lynx pardinus","natal"
"313","Ferreras et al. 2004","p107","iberian lynx","Lynx pardinus","natal"
"314","Ferreras et al. 2004","p107","iberian lynx","Lynx pardinus","natal"
"315","Ferreras et al. 2004","p107","iberian lynx","Lynx pardinus","natal"
"316","Ferreras et al. 2004","p107","iberian lynx","Lynx pardinus","breeding"
"317","Ferreras et al. 2004","p107","iberian lynx","Lynx pardinus","breeding"
"318","Ferreras et al. 2004","p107","iberian lynx","Lynx pardinus","breeding"
"319","Gienapp & Merilä 2011","p108","siberian jay","Perisoreus infaustus","natal"
"320","Gienapp & Merilä 2011","p108","siberian jay","Perisoreus infaustus","natal"
"321","Coulton et al. 2011","p109","mallard","Anas platyrhynchos","natal"
"322","Bloom et al. 2011","p110","red-shouldered hawk","Buteo lineatus","natal"
"323","Selonen & Hanski 2012","p111","siberian flying squirrel","Pteromys volans","natal"
"324","Tarwater & Beissinger 2012","p112","green-rumped parrotlet","Forpus passerinus","natal"
"325","Tarwater & Beissinger 2012","p112","green-rumped parrotlet","Forpus passerinus","natal"
"326","Tarwater & Beissinger 2012","p112","green-rumped parrotlet","Forpus passerinus","natal"
"327","Serrano & Tella 2012","p113","lesser kestrel","Falco naumanni","natal"
"328","Serrano & Tella 2012","p113","lesser kestrel","Falco naumanni","natal"
"329","Briggs et al. 2012","p114","swainson's hawk","Buteo swainsoni","natal"
"330","Briggs et al. 2012","p114","swainson's hawk","Buteo swainsoni","natal"
"331","Molina-Morales et al. 2012","p115","common magpie","Pica pica","natal"
